lineage_id,person_id,name_en,relationship_type,related_name,related_qid,url,source
LG0174,FM067,Jacques Zoon,student_of,András Adorján,,https://www.hesge.ch/hem/en/la-hem/annuaire/jacques-zoon,HEM Geneve profile: Zoon studied at Banff with Andras Adorjan
LG0175,FM068,Marina Piccinini,student_of,Jeanne Baxtresser,,https://www.marinapiccinini.com/about,Official biography: Piccinini began studies in Toronto with Jeanne Baxtresser
LG0176,FM068,Marina Piccinini,student_of,Julius Baker,,https://www.marinapiccinini.com/about,Official biography: Piccinini studied with Julius Baker at Juilliard
LG0177,FM068,Marina Piccinini,student_of,Aurèle Nicolet,,https://www.marinapiccinini.com/about,Official biography: Piccinini worked with Aurele Nicolet
LG0178,FM069,Sharon Bezaly,student_of,Maurice Bourgue,,https://www.jmc.org.il/en/sharon-bezaly/,Jerusalem Music Centre biography: Bezaly worked with Maurice Bourgue
LG0179,FM069,Sharon Bezaly,student_of,Raymond Guiot,,https://www.jmc.org.il/en/sharon-bezaly/,Jerusalem Music Centre biography: Bezaly worked with Raymond Guiot
LG0180,FM069,Sharon Bezaly,student_of,Alain Marion,,https://www.jmc.org.il/en/sharon-bezaly/,Jerusalem Music Centre biography: Bezaly worked with Alain Marion
LG0181,FM069,Sharon Bezaly,student_of,Aurèle Nicolet,,https://www.jmc.org.il/en/sharon-bezaly/,Jerusalem Music Centre biography: Bezaly worked with Aurele Nicolet
LG0182,FM070,Denis Bouriakov,student_of,William Bennett,,https://bouriakov.com/bio,Official biography: Bouriakov studied with William Bennett at the Royal Academy of Music
LG0183,FM071,Andrea Lieberknecht,student_of,Paul Meisen,,https://www.floete.net/en/publications/flutists-worldwide/german-flutists/,DGfF German flutists page: Ausbildung with Paul Meisen
LG0184,FM073,Emily Beynon,student_of,Margaret Ogonovsky,,https://emilybeynon.com/,Official biography: Beynon began flute studies with Margaret Ogonovsky
LG0185,FM073,Emily Beynon,student_of,William Bennett,,https://emilybeynon.com/,Official biography: Beynon studied with William Bennett at the Royal Academy
LG0186,FM073,Emily Beynon,student_of,Alain Marion,,https://emilybeynon.com/,Official biography: Beynon studied with Alain Marion in Paris
LG0187,FM074,Susan Milan,student_of,John Francis,,https://www.rcm.ac.uk/woodwind/professors/details/?id=01356,Royal College of Music profile: Milan studied with John Francis
LG0188,FM074,Susan Milan,student_of,Geoffrey Gilbert,,https://www.rcm.ac.uk/woodwind/professors/details/?id=01356,Royal College of Music profile: Milan studied with Geoffrey Gilbert
LG0189,FM074,Susan Milan,student_of,Marcel Moyse,,https://www.rcm.ac.uk/woodwind/professors/details/?id=01356,Royal College of Music profile: Milan attended Marcel Moyse masterclasses
LG0190,FM077,Adam Walker,student_of,Gitte Marcusson,,https://www.rcm.ac.uk/about/news/all/2017-11-01adamwalker.aspx,Royal College of Music news: Marcusson was Walker's former teacher
LG0191,FM078,Lorna McGhee,student_of,David Nicholson,,https://woodwinds.tonebase.co/flute-artist-biographies/lornamcghee,tonebase biography: McGhee studied with David Nicholson
LG0192,FM078,Lorna McGhee,student_of,Michie,,https://woodwinds.tonebase.co/flute-artist-biographies/lornamcghee,tonebase biography: McGhee studied with Michie at the Royal Academy of Music
LG0193,FM078,Lorna McGhee,student_of,William Bennett,,https://woodwinds.tonebase.co/flute-artist-biographies/lornamcghee,tonebase biography: McGhee studied with William Bennett
LG0194,FM085,Mary Karen Clardy,student,Gaspar Hoyos,,https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=osu1196186122&disposition=inline,OhioLINK dissertation on NFA commissioned works: Hoyos studied with Mary Karen Clardy at UNT
LG0195,FM086,Patricia George,student_of,Frances Blaisdell,,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/patricia-george,NFA profile: George studied with Frances Blaisdell
LG0196,FM086,Patricia George,student_of,Joseph Mariano,,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/patricia-george,NFA profile: George continued studies with Joseph Mariano
LG0197,FM086,Patricia George,student_of,William Kincaid,,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/patricia-george,NFA profile: George's summer study included William Kincaid
LG0198,FM086,Patricia George,student_of,Julius Baker,,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/patricia-george,NFA profile: George's summer study included Julius Baker
LG0199,FM087,Linda Chesis,student_of,Jean-Pierre Rampal,,https://www.msmnyc.edu/faculty/linda-chesis/,Manhattan School of Music profile: Chesis pursued flute studies with Jean-Pierre Rampal at the Paris Conservatory
LG0200,FM090,Alberto Almarza,student_of,Jeanne Baxtresser,,https://www.cmu.edu/cfa/music/people/Bios/almarza_alberto.html,Carnegie Mellon profile: Almarza studied with Jeanne Baxtresser
LG0201,FM090,Alberto Almarza,student_of,Julius Baker,,https://www.cmu.edu/cfa/music/people/Bios/almarza_alberto.html,Carnegie Mellon profile: Almarza studied with Julius Baker at Carnegie Mellon
LG0202,FM092,Shigenori Kudo,student_of,Jean-Pierre Rampal,,https://www.wmshaynes.com/shigenori-kudo,Haynes biography: Kudo completed musical education at the Conservatoire National de Paris with Jean-Pierre Rampal
LG0203,FM092,Shigenori Kudo,student_of,Alain Marion,,https://aadl.org/sites/default/files/docfiles/programs_19881015e.pdf,Ann Arbor program biography: Kudo's teachers included Alain Marion
LG0204,FM076,Gareth Davies,student,Camilla Marchant,,https://www.camillamarchant.com/about,Camilla Marchant biography: studied at the Royal College of Music with Gareth Davies
LG0205,FM079,Paul Edmund-Davies,student,Julien Beaudiment,,https://www.beaudiment.com/about,Julien Beaudiment official biography: studied at Guildhall with Paul Edmund-Davies
LG0206,FM094,Seiya Ueno,student,Rin Sakata,,https://cyasymphony.org/competition-program/,California Young Artists Symphony profile: Rin Sakata previously studied with Seiya Ueno
LG0207,FM095,Yuki Koyama,student,Rin Sakata,,https://cyasymphony.org/competition-program/,California Young Artists Symphony profile: Rin Sakata previously studied with Yuki Koyama
